OBJECTID,ClassName,ClassValue,ORIG_FID,B2,B3,B4,B8,CMRI,EVI,GNDVI,NDVI,NDWI,SAVI,VV,GLCM_Mean,GLCM_Homogeinity,GLCM_Entropy,GLCM_Correlation
549,Dense_Mangrove,5,693,0.0228,0.0328,0.0262,0.202399999,1.491867065,0.370604068,0.721088409,0.770778656,0.111864403,0.362750471,-6.981481552,35.83571243,0.764046013,5.251354218,0.990105987
550,Dense_Mangrove,5,694,0.0166,0.031099999,0.0176,0.232999995,1.624020219,0.443538427,0.764483154,0.859537125,0.277207375,0.430455625,-6.854011536,31.57857132,0.53071624,5.999136925,0.938743591
551,Sparse_Mangrove,6,695,0.045400001,0.060600001,0.0513,0.228200004,1.213248372,0.369928896,0.580332398,0.632915914,0.08310993,0.340410531,-10.70534992,18.5,0.833695054,5.225582123,0.938902438
552,Sparse_Mangrove,6,696,0.0286,0.0493,0.0307,0.287999988,1.515020967,0.511449456,0.707678616,0.80734235,0.232500002,0.471418083,-6.577349663,29.79999924,0.352217197,7.089198589,0.932425857
553,Sparse_Mangrove,6,697,0.025699999,0.048500001,0.028899999,0.279199988,1.516396165,0.496686101,0.703997552,0.812398553,0.253230006,0.464608312,-8.443239212,26.54999924,0.559558153,6.790362835,0.960012376
554,Water,7,698,0.068800002,0.088500001,0.071800001,0.065800004,-0.190720618,-0.01529675,-0.147115991,-0.043604631,0.104179658,-0.014115427,-11.6994915,18.69285774,0.54014796,6.115217209,0.901722014
555,Water,7,699,0.068599999,0.086400002,0.075800002,0.068599999,-0.16470024,-0.01784122,-0.114838727,-0.049861513,0.065351419,-0.016759783,-10.44422722,20.7142849,0.370614707,6.777411938,0.917970717
556,Water,7,700,0.069200002,0.085600004,0.071000002,0.082400002,0.055267878,0.028805334,-0.019047631,0.074315511,0.093231164,0.026170798,-9.018621445,24.70714378,0.312126517,7.859356403,0.873785198
557,Water,7,701,0.079499997,0.091200002,0.074600004,0.060600001,-0.305131346,-0.0383793,-0.201581031,-0.103550307,0.100120611,-0.033060458,-10.40963554,21.26428604,0.412703961,5.819585323,0.926757932
558,Water,7,702,0.076399997,0.0832,0.070799999,0.065200001,-0.162470251,-0.01526717,-0.121293791,-0.041176457,0.08051949,-0.013207543,-9.295690536,22.69285774,0.449607342,7.241083145,0.860904753
559,Water,7,705,0.0678,0.081,0.0638,0.062600002,-0.137627348,-0.003202044,-0.128133699,-0.009493655,0.118784532,-0.002873558,-9.794635773,22.23571396,0.497828126,6.952511311,0.898688436
560,Water,7,706,0.0678,0.082400002,0.062899999,0.0482,-0.39418152,-0.040071964,-0.261868298,-0.132313222,0.134205103,-0.036082473,-8.461523056,28.47142792,0.620355844,5.570401192,0.973061562
561,Water,7,707,0.069200002,0.086000003,0.074199997,0.049699999,-0.465241969,-0.062762573,-0.267501861,-0.197740093,0.073657967,-0.058903664,-11.10433006,16.43571472,0.796431184,5.198426247,0.947962344
562,Water,7,708,0.072999999,0.083099999,0.071199998,0.062600002,-0.204975054,-0.022816503,-0.140700042,-0.064275011,0.077122495,-0.020353416,-11.13775063,17.29999924,0.881457567,4.665976524,0.928953946
563,Water,7,709,0.066200003,0.082199998,0.070799999,0.0704,-0.080159195,-0.0010013,-0.077326335,-0.002832856,0.074509799,-0.000935744,-10.50720978,19.6071434,0.479432255,5.614211559,0.928498745
